,word,meaning,example
52,abstract,a summary of points (as of a writing) usually presented in skeletal form,
53,abstract,an abstract thing or state (see abstract entry 1),
54,abstract,abstraction sense 4a,
55,abstract,to make a summary or abstract of : summarize,abstract an academic paper
56,abstract,to draw away the attention of,His imagination had so abstracted him that his name was called twice before he answered.
57,abstract,"steal, purloin",She abstracted important documents from the safe.
58,abstract,"remove, separate",
59,abstract,to consider apart from application to or association with a particular instance,
60,abstract,to make an abstraction,
61,abstruse,difficult to comprehend : recondite,the abstruse calculations of mathematicians
62,accentuate,"to make (something) more prominent or noticeable : accent, emphasize","With her hair in tight curls that accentuate her pale beauty, she seems lit from within."
63,accessible,capable of being reached,a remote region accessible by rail
64,accessible,easy to speak to or deal with,"a friendly, accessible boss"
65,accessible,capable of being used or seen : available,information that should be accessible to everyone
66,accessible,capable of being understood or appreciated,the author's most accessible stories
67,accessible,capable of being influenced : open,people who are accessible to new ideas
68,accessible,easily used or accessed by people with disabilities : adapted for use by people with disabilities,accessible bathrooms/doorways/seating/parking
69,acclaim,"applaud, praise",Critics acclaimed her performance.
70,acclaim,to declare by acclamation,was acclaimed president of the society
71,acclaim,to shout praise or applause,
72,acclaim,the act of acclaiming,
73,acclaim,"praise, applause",She deserves acclaim for all her charitable works.
74,acolyte,one who assists a member of the clergy in a liturgical service by performing minor duties,
75,acolyte,one who attends or assists a leader : follower,The mayor dined with a few of his acolytes.
76,acquiesce,"to accept, comply, or submit tacitly or passively",
77,acquisitive,strongly desirous of acquiring and possessing,
78,acrimonious,"angry and bitter : caustic, biting, or rancorous especially in feeling, language, or manner",an acrimonious dispute
79,acumen,"keenness and depth of perception, discernment, or discrimination especially in practical matters",
80,adept,thoroughly proficient : expert,an adept negotiator
81,adept,a highly skilled or well-trained individual : expert,an adept at chess
82,admonish,to indicate duties or obligations to,
83,admonish,"to express warning or disapproval to especially in a gentle, earnest, or solicitous manner",were admonished for being late
84,admonish,to give friendly earnest advice or encouragement to,admonished them to be careful
85,admonish,to say (something) as advice or a warning,"The sign admonished, ""Watch your step."""
86,adroit,"having or showing skill, cleverness, or resourcefulness in handling situations",an adroit leader
87,adulterate,"to corrupt, debase, or make impure by the addition of a foreign or inferior substance or element",
88,adulterate,being adulterated : spurious,
89,adulterate,tainted with adultery : adulterous,
90,adverse,acting against or in a contrary direction : hostile,hindered by adverse winds
91,adverse,opposed to one's interests,an adverse verdict
92,adverse,causing harm : harmful,adverse drug effects
93,adverse,opposite in position,
94,advocate,one who defends or maintains a cause or proposal,an advocate of liberal arts education
95,advocate,one who supports or promotes the interests of a cause or group,a consumer advocate
96,advocate,one who pleads the cause of another,
97,advocate,"to support or argue for (a cause, policy, etc.) : to plead in favor of",They advocated a return to traditional teaching methods.
98,advocate,to act as advocate for someone or something,
99,aesthetic,"of, relating to, or dealing with aesthetics or the beautiful",aesthetic theories
100,aesthetic,artistic,a work of aesthetic value
101,aesthetic,pleasing in appearance : attractive,
102,aesthetic,"appreciative of, responsive to, or zealous about the beautiful",
103,aesthetic,done or made to improve a person's appearance or to correct defects in a person's appearance,aesthetic plastic surgery
104,aesthetic,"a branch of philosophy dealing with the nature of beauty, art, and taste and with the creation and appreciation of beauty",
105,aesthetic,a particular theory or conception of beauty or art : a particular taste for or approach to what is pleasing to the senses and especially sight,modernist aesthetics
106,aesthetic,a pleasing appearance or effect : beauty,appreciated the aesthetics of the gemstones
107,affectation,speech or conduct not natural to oneself : an unnatural form of behavior meant especially to impress others,His French accent is just an affectation.
108,affectation,the act of taking on or displaying an attitude or mode of behavior not natural to oneself or not genuinely felt,speaking honestly without affectation
109,affectation,a striving after,
110,affinity,relationship by marriage,
111,affinity,sympathy marked by community of interest : kinship,She has an affinity to him because of their common musical interests.
112,affinity,an attraction to or liking for something,people with an affinity to darkness
113,affinity,an attractive force between substances or particles that causes them to enter into and remain in chemical combination,
114,affinity,a person especially of the opposite sex having a particular attraction for one,
115,affinity,likeness based on relationship or causal connection,found an affinity between the teller of a tale and the craftsman
116,affinity,a relation between biological groups involving resemblance in structural plan and indicating a common origin,
117,affinity,"of, relating to, involving, or used in affinity chromatography","The unwanted antibodies are removed in affinity columns, which contain a matrix to which other antibodies have already been allowed to bind …"
118,affront,to insult especially to the face by behavior or language,He was affronted by her rudeness.
119,affront,to cause offense to,laws that affront society
120,affront,to face in defiance : confront,affront death
121,affront,to encounter face-to-face,
122,affront,to appear directly before,
123,affront,a deliberate offense : insult,an affront to his dignity
124,affront,a hostile encounter,
125,aggrandize,"to make great or greater : increase, enlarge",aggrandize an estate
126,aggrandize,to make appear great or greater : praise highly,
127,aggrandize,"to enhance the power, wealth, position, or reputation of",exploited the situation to aggrandize himself
128,aghast,"struck with terror, amazement, or horror : shocked and upset",was aghast when she heard the news
129,agitate,to excite and often trouble the mind or feelings of : disturb,"My presence did not appear to agitate or irritate him as before, and he accepted my services quietly …"
130,agitate,to discuss excitedly and earnestly,
131,agitate,to stir up public discussion of,… trying to agitate the old question of the embezzlement of the remains of the Confederate Treasury.
132,agitate,to give motion to,
133,agitate,"to move with an irregular, rapid, or violent action",The storm agitated the sea.
134,agitate,to attempt to arouse public feeling,agitated for better schools
135,alacrity,promptness in response : cheerful readiness,accepted the invitation with alacrity
136,alienate,"to cause to be estranged : to make unfriendly, hostile, or indifferent especially where attachment formerly existed",He alienated most of his colleagues with his bad temper.
137,alienate,"to convey or transfer (something, such as property or a right) usually by a specific act rather than the due course of law",
138,alienate,to cause to be withdrawn or diverted,alienate capital from its natural channels
139,alleviate,"relieve, lessen: such as",
140,alleviate,"to make (something, such as pain or suffering) more bearable",a drug that alleviates the symptoms
141,alleviate,to partially remove or correct (something undesirable),government programs to alleviate poverty
142,allusive,characterized by or containing allusion : making implied or indirect references,
143,aloof,removed or distant either physically or emotionally,"an aloof, unfriendly manner"
144,aloof,at a distance,trying to keep failure aloof
145,altruistic,relating to or given to altruism:,
146,altruistic,having or showing an unselfish concern for the welfare of others,altruistic acts/motives
147,altruistic,relating to or being behavior by an animal that is not beneficial to or may be harmful to the animal itself but that benefits others of its species,
148,amalgamate,to unite in or as if in an amalgam,
149,ambivalent,having or showing simultaneous and contradictory attitudes or feelings toward something or someone : characterized by ambivalence,
150,ameliorate,to make better or more tolerable,medicine to ameliorate the pain
151,ameliorate,to grow better,
152,amenable,liable to be brought to account : answerable,citizens amenable to the law
153,amenable,capable of submission (as to judgment or test) : suited,The data is amenable to analysis.
154,amenable,"readily brought to yield, submit, or cooperate",a government not amenable to change
155,amenable,willing sense 1,was amenable to spending more time at home
156,amend,to put right,
157,amend,to change or modify (something) for the better : improve,amend the situation
158,amend,to alter especially in phraseology,
159,amend,to reform oneself,
160,amicable,characterized by friendly goodwill : peaceable,amicable relations/discussions
161,amorphous,having no definite form : shapeless,an amorphous cloud mass
162,amorphous,being without definite character or nature : unclassifiable,an amorphous segment of society
163,amorphous,lacking organization or unity,an amorphous style of writing
164,amorphous,having no real or apparent crystalline form,an amorphous mineral
165,anachronistic,an error in chronology,
166,anachronistic,a person or a thing that is chronologically out of place,
167,anachronistic,the state or condition of being chronologically out of place,
168,analogous,similar or comparable to something else either in general or in some specific detail,a town council and a government body that serves an analogous function
169,animosity,a strong feeling of dislike or hatred : ill will or resentment tending toward active hostility : an antagonistic attitude,
170,animus,a usually prejudiced and often spiteful or malevolent ill will,harbored an animus toward them
171,animus,"basic attitude or governing spirit : disposition, intention",
172,animus,an inner masculine part of the female personality in the analytical psychology of Carl Gustav Jung   compare anima,
173,anoint,to smear or rub with oil or an oily substance,
174,anoint,to apply oil to as part of a religious ceremony,The priest anointed the sick.
175,anoint,to choose by or as if by divine election,anoint him as his successor
176,anomalous,"inconsistent with or deviating from what is usual, normal, or expected : irregular, unusual",Researchers could not explain the anomalous test results.
177,anomalous,of uncertain nature or classification,an anomalous figure in the world of politics
178,anomalous,marked by incongruity or contradiction : paradoxical,
179,antagonize,to incur or provoke the hostility of,His criticism antagonized his friends.
180,antagonize,to act in opposition to : counteract,
181,antedate,a date assigned to an event or document earlier than the actual date of the event or document,
182,antedate,to date as of a time prior to that of execution,
183,antedate,to assign to a date prior to that of actual occurrence,
184,antedate,anticipate,
185,antedate,to precede in time,
186,antipathy,a strong feeling of dislike,an antipathy to taxes
187,antipathy,something disliked : an object of aversion,"… perhaps his greatest antipathies were cabs, old women, doors that would not shut …"
188,antipathy,opposition in feeling,
189,antithesis,the direct opposite,Her temperament is the very antithesis of mine.
190,antithesis,"the rhetorical contrast of ideas by means of parallel arrangements of words, clauses, or sentences (as in ""action, not words"" or ""they promised freedom and provided slavery"")",
191,antithesis,"opposition, contrast",the antithesis of prose and verse
192,antithesis,"the second of two opposing words, clauses, or sentences that are being rhetorically contrasted",
193,antithesis,the second stage of a dialectical process,
194,apathy,lack of feeling or emotion : impassiveness,drug abuse leading to apathy and depression
195,apathy,lack of interest or concern : indifference,political apathy
196,apogee,the point in the orbit of an object (such as a satellite) orbiting the earth that is at the greatest distance from the center of the earth,
197,apogee,the farthest or highest point : culmination,Aegean civilization reached its apogee in Crete.
198,apologist,"someone who speaks or writes in defense of someone or something that is typically controversial, unpopular, or subject to criticism",… an apologist for moneyed interests.
199,appease,"pacify, conciliate",
200,appease,to cause to subside : allay,appeased my hunger
201,appease,to bring to a state of peace or quiet : calm,appease a quarrel
202,apprehension,suspicion or fear especially of future evil : foreboding,an atmosphere of nervous apprehension
203,apprehension,seizure by legal process : arrest,apprehension of a criminal
204,apprehension,the act or power of perceiving or comprehending something,a person of dull apprehension
205,apprehension,the result of apprehending something mentally : conception,according to popular apprehension
206,apprise,to give notice to : tell,They apprised him of his rights.
207,approbation,"commendation, praise",a plan that has won the approbation of the mayor
208,approbation,an act of approving formally or officially,
209,approbation,proof,
210,appropriate,especially suitable or compatible : fitting,an appropriate response
211,appropriate,to take exclusive possession of : annex,No one should appropriate a common benefit.
212,appropriate,to set apart for or assign to a particular purpose or use,appropriate money for a research program
213,appropriate,to take or make use of without authority or right,natural habitats that have been appropriated for human use
214,apropos,being both relevant and opportune,apropos comments
215,apropos,with regard to (something) : apropos of,"Apropos the proposed changes, I think more information is needed."
216,apropos,at an opportune time : seasonably,Your letter arrived apropos.
217,apropos,by way of interjection or further comment : with regard to the present topic,
218,apt,unusually fitted or qualified : ready,proved an apt tool in the hands of the conspirators
219,apt,having a tendency : likely,plants apt to suffer from drought
220,apt,ordinarily disposed : inclined,apt to accept what is plausible as true
221,apt,suited to a purpose,
222,apt,keenly intelligent and responsive,an apt pupil
223,apt,apartment,
224,apt,aptitude,
225,arbitrary,existing or coming about seemingly at random or by chance or as a capricious and unreasonable act of will,an arbitrary choice
226,arbitrary,based on or determined by individual preference or convenience rather than by necessity or the intrinsic nature of something,an arbitrary standard
227,arbitrary,not restrained or limited in the exercise of power : ruling by absolute authority,an arbitrary government
228,arbitrary,marked by or resulting from the unrestrained and often tyrannical exercise of power,protection from arbitrary arrest and detention
229,arbitrary,depending on individual discretion (as of a judge) and not fixed by law,The manner of punishment is arbitrary.
230,arcane,known or knowable only to a few people : secret,arcane rites
231,archaic,having the characteristics of the language of the past and surviving chiefly in specialized uses,an archaic word
232,archaic,"of, relating to, or characteristic of an earlier or more primitive time : antiquated",archaic legal traditions
233,archaic,of or belonging to the early or formative phases of a culture or a period of artistic development,
234,archaic,surviving from an earlier period,
235,archaic,of or relating to the period from about 8000 b.c. to 1000 b.c. and the North American cultures of that time,
236,archetype,the original pattern or model of which all things of the same type are representations or copies : prototype,"… the House of Commons, the archetype of all the representative assemblies which now meet …"
237,archetype,idea sense 4c,
238,archetype,an inherited idea or mode of thought in the psychology of Carl Gustav Jung that is derived from the experience of the race and is present in the unconscious of the individual,
239,ardent,characterized by warmth of feeling typically expressed in eager zealous support or activity,ardent proponents of the bill
240,ardent,"fiery, hot",an ardent sun
241,ardent,"shining, glowing",ardent eyes
242,arduous,hard to accomplish or achieve : difficult,an arduous task
243,arduous,marked by great labor or effort : strenuous,… a life of arduous toil.
244,arduous,hard to climb : steep,an arduous path
245,arresting,"catching the attention : striking, impressive",an arresting image
246,articulate,"expressing oneself readily, clearly, and effectively",an articulate teacher
247,articulate,divided into syllables or words meaningfully arranged : intelligible,an articulate cry/utterance
248,articulate,able to speak,So furious was he that he was hardly articulate …
249,articulate,consisting of segments united by joints : jointed,articulate animals
250,articulate,distinctly marked off,an articulate period in history
251,articulate,to give clear and effective utterance to : to put into words,articulate one's grievances
252,articulate,to utter distinctly,articulating each note in the musical phrase
253,articulate,"to give definition to (something, such as a shape or object)",Eight shades of gray were chosen to articulate different spaces.
254,articulate,"to give shape or expression to (something, such as a theme or concept)",a drama that uses eerie props to articulate a sense of foreboding
255,articulate,to unite by or as if by means of a joint : joint,
256,articulate,to form or fit into a systematic whole,articulating a program for all school grades
257,articulate,to utter clear and understandable sounds,
258,articulate,to become united or connected by or as if by a joint,Most bones articulate with other bones in one or more places.
259,artless,"lacking art, knowledge, or skill : uncultured",an artless brute
260,artless,made without skill : crude,an artless attempt to win votes
261,artless,free from artificiality : natural,artless grace
262,artless,free from guile or craft : sincerely simple,an artless young woman
263,ascertain,to find out or learn with certainty,ascertain the truth
264,ascertain,"to make certain, exact, or precise",
265,ascetic,practicing strict self-denial as a measure of personal and especially spiritual discipline,an ascetic monk
266,ascetic,"austere in appearance, manner, or attitude",
267,ascribe,"to refer to a supposed cause, source, or author : to say or think that (something) is caused by, comes from, or is associated with a particular person or thing",These poems are usually ascribed to Homer.
268,aspersion,a false or misleading charge meant to harm someone's reputation,casting aspersions on her integrity
269,aspersion,the act of making such a charge : defamation,
270,aspersion,a sprinkling with water especially in religious ceremonies,the aspersion of the congregation before Mass
271,assail,to attack violently : assault,"The military has for years been developing offensive capabilities, giving it the power not just to defend the US but to assail its foes."
272,assail,"to encounter, undertake, or confront energetically","When a lazy man does make up his mind to assail a piece of work, he is like a dog with a bone."
273,assail,"to oppose, challenge, or criticize harshly and forcefully",a proposal assailed by critics
274,assail,to trouble or afflict in a manner that threatens to overwhelm,a man assailed by doubts/fears
275,assail,"to be perceived by (a person, a person's senses, etc.) in a strongly noticeable and usually unpleasant way","Here, too, is brought … all the waste stuff of the nation—everything that is subject to rot, and that can add to the foul stench that assails our nostrils."
276,assertive,disposed to or characterized by bold or confident statements and behavior,an assertive leader
277,assertive,having a strong or distinctive flavor or aroma,assertive wines
278,assuage,to lessen the intensity of (something that pains or distresses) : ease,unable to assuage their grief
279,assuage,"pacify, quiet",
280,assuage,"to put an end to by satisfying : appease, quench",assuaging his thirst
281,astringent,causing a tightening of soft organic tissues : styptic,
282,astringent,suggestive of an astringent effect upon tissue : rigidly severe : austere,dry astringent comments
283,astringent,an astringent agent or substance: such as,
284,astringent,a medicine for checking the discharge of mucus or serum by causing shrinkage of tissue,
285,astringent,a liquid cosmetic for cleansing the skin and contracting the pores,
286,astute,having or showing shrewdness and an ability to notice and understand things clearly : mentally sharp or clever,an astute observer
287,attenuate,"to lessen the amount, force, magnitude, or value of : weaken",
288,attenuate,"to reduce the severity, virulence, or vitality of",an attenuated virus
289,attenuate,to make thin or slender,Glass can be attenuated into fibers.
290,attenuate,to make thin in consistency : rarefy,attenuate oil by heating it
291,attenuate,"to become thin, fine, or less",
292,attenuate,"reduced especially in thickness, density, or force",the attenuate limbs of a starving person
293,attenuate,tapering gradually usually to a long slender point,attenuate leaves
294,audacious,intrepidly daring : adventurous,an audacious mountain climber
295,audacious,recklessly bold : rash,an audacious maneuver
296,audacious,"contemptuous of law, religion, or decorum : insolent",an audacious maverick
297,audacious,marked by originality and verve,audacious experiments
298,augment,"to make greater, more numerous, larger, or more intense",The impact of the report was augmented by its timing.
299,augment,supplement,She took a second job to augment her income.
300,augment,to add an augment to (a verb form) (see augment entry 2),
301,augment,to become augmented,
302,augment,a vowel prefixed or a lengthening of the initial vowel to mark past time especially in Greek and Sanskrit verbs,
303,august,marked by majestic dignity or grandeur,her august lineage
304,august,the eighth month of the Gregorian calendar,
305,auspicious,showing or suggesting that future success is likely : propitious,made an auspicious beginning
306,auspicious,"attended by good auspices : fortunate, prosperous",an auspicious year
307,austere,stern and cold in appearance or manner,an austere Puritan
308,austere,"somber, grave",an austere critic
309,austere,morally strict : ascetic,
310,austere,markedly simple or unadorned,an austere office
311,austere,giving little or no scope for pleasure,austere diets
312,austere,having the flavor of acid or tannin predominant over fruit flavors usually indicating a capacity for aging,
313,auxiliary,offering or providing help,
314,auxiliary,functioning in a subsidiary capacity,an auxiliary branch of the state university
315,auxiliary,"accompanying another verb and typically expressing person, number, mood, or tense","In ""I will go,"" the word ""will"" is an auxiliary verb."
316,auxiliary,supplementary,a telescope with its auxiliary apparatus
317,auxiliary,constituting a reserve,an auxiliary power plant
318,auxiliary,equipped with sails and a supplementary inboard engine,an auxiliary sloop
319,auxiliary,"an auxiliary person, group, or device",
320,auxiliary,a Roman Catholic titular bishop assisting a diocesan bishop and not having the right of succession,
321,auxiliary,a sailing boat or ship equipped with a supplementary inboard engine,
322,auxiliary,an auxiliary verb,
323,avaricious,greedy of gain : excessively acquisitive especially in seeking to hoard riches,avaricious land-grabbers
324,aver,to declare positively,
325,aver,to verify or prove to be true in pleading a cause,
326,aver,to allege or assert in pleading,
327,aversion,a feeling of repugnance toward something with a desire to avoid or turn from it,regards drunkenness with aversion
328,aversion,a settled dislike : antipathy,expressed an aversion to parties
329,aversion,a tendency to extinguish a behavior or to avoid a thing or situation and especially a usually pleasurable one because it is or has been associated with a noxious stimulus,
330,aversion,an object of dislike or aversion,
331,aversion,the act of turning away,
332,axiomatic,taken for granted : self-evident,an axiomatic truth
333,axiomatic,based on or involving an axiom or system of axioms,axiomatic set theory
334,banal,"lacking originality, freshness, or novelty : trite",
335,banish,to require by authority to leave a country,a dictator who banishes anyone who opposes him
336,banish,to drive out or remove from a home or place of usual resort or continuance,He was banished from court.
337,banish,to clear away : dispel,
338,baroque,"of, relating to, or having the characteristics of a style of artistic expression prevalent especially in the 17th century that is marked generally by use of complex forms, bold ornamentation, and the juxtaposition of contrasting elements often conveying a sense of drama, movement, and tension",a baroque cathedral
339,baroque,"characterized by grotesqueness, extravagance, complexity, or flamboyance",
340,baroque,irregularly shaped,a baroque pearl
341,baroque,the baroque style or the period in which it flourished,
342,barrage,a dam placed in a watercourse to increase the depth of water or to divert it into a channel for navigation or irrigation,
343,barrage,artillery fire laid on a line (see line entry 1 sense 6c) close to friendly troops to screen and protect them,The enemy laid down a barrage of machine-gun fire as our platoon approached the bridge.
344,barrage,a vigorous or rapid outpouring or projection of many things at once,a barrage of phone calls
345,barrage,to deliver a barrage (see barrage entry 2) against,were barraged with bullets
346,barren,not reproducing: such as,
347,barren,incapable of producing offspring,barren women
348,barren,not yet or not recently pregnant,
349,barren,habitually failing to fruit,barren apple trees
350,barren,not productive: such as,
351,barren,producing little or no vegetation : desolate,barren deserts
352,barren,producing inferior crops,barren soil
353,barren,unproductive of results or gain : fruitless,a barren scheme
354,barren,"devoid, lacking",barren of excitement
355,barren,lacking interest or charm,a barren routine
356,barren,lacking inspiration or ideas,a barren mind
357,barren,an extent of usually level land having an inferior growth of trees or little vegetation,
358,barren,a tract of barren land,
359,base,the bottom of something considered as its support : foundation,the base of the mountain
360,base,that part of a bodily organ by which it is attached to another more central structure of the organism,the base of the thumb
361,base,"the lower part of a wall, pier, or column considered as a separate architectural feature",
362,base,the lower part of a complete architectural design (as of a monument),
363,base,a side or face (see face entry 1 sense 5a(5)) of a geometrical figure from which an altitude (see altitude sense 1c(1)) can be constructed,
364,base,the length of a base,determining the triangle's base
365,base,a main ingredient,paint having a latex base
366,base,a supporting or carrying ingredient (as of a medicine),
367,base,a first or bottom layer of something on which other elements are added,
368,base,"the fundamental part of something : groundwork, basis",the book's theoretical base
369,base,something (as a group of people) that reliably provides support (such as for a business or political candidate),
370,base,"the economic factors on which all legal, social, and political relations are formed",
371,base,the starting point or line for an action or undertaking,
372,base,a baseline in surveying,
373,base,a center or area of operations,The company has its base in London.
374,base,a permanent military installation,a naval base
375,base,the place from which a military force draws supplies,
376,base,a place where military operations begin,
377,base,root sense 6,"""Leave"" is the base of the verb ""left."""
378,base,a number (such as 5 in 56.44 or 57) that is raised to a power (see power entry 1 sense 5a),
379,base,a number equal to the number of units in a given digit's place (see place entry 1 sense 8) that for a given system of writing numbers is required to give the numeral 1 in the next higher place,The decimal system uses a base of 10.
380,base,a number that is multiplied by a rate or of which a percentage or fraction is calculated,To find the interest on $90 at 10 percent multiply the base 90 by .10.
381,base,any one of the four stations at the corners of a baseball or softball infield,allowing the batter to reach base
382,base,the starting place or goal,
383,base,a point to be considered,His opening remarks touched every base.
384,base,"any of various typically water-soluble and bitter tasting compounds that in solution have a pH greater than 7, are capable of reacting with an acid to form a salt, and are molecules or ions able to take up a proton from an acid or able to give up an unshared pair of electrons to an acid",
385,base,"any of the five purine or pyrimidine bases of DNA and RNA that include cytosine, guanine, adenine, thymine, and uracil",
386,base,a price level at which a security (see security sense 3) previously declining in price resists further decline,
387,base,the lower part of a heraldic field (see field entry 1 sense 3c),
388,base,the part of a transformational grammar that consists of rules and a lexicon and generates the deep structures of a language,
389,base,an electrode that modulates the current flowing through a bipolar junction transistor according to the voltage applied to the electrode,
390,base,to find a foundation or basis for : to find a base (see base entry 1 sense 3a) for,
391,base,"to make, form, or serve as a base for",
392,base,lacking or indicating the lack of higher qualities of mind or spirit : ignoble,
393,base,lacking higher values : degrading,a drab base way of life
394,base,being of comparatively low value and having relatively inferior properties (such as lack of resistance to corrosion),a base metal such as iron
395,base,containing a larger than usual proportion of base metals,base silver denarii
396,base,resembling a villein : servile,a base tenant
397,base,held by villenage,base tenure
398,base,of little height,
399,base,baseborn,
400,base,low in place or position,
401,base,bass,
402,base,constituting or serving as a base,
403,base,of the simplest or most basic design or form : having the form of something before upgrades or customization,
404,bawdy,boisterously or humorously indecent,bawdy jokes
405,bawdy,"obscene, lewd",a bawdy comedian
406,bawdy,bawdry sense 2,
407,befuddled,utterly confused or puzzled : deeply perplexed,… somebody may be so befuddled and self-destructive as to miss the point entirely.
408,beguile,hoodwink,beguiled her classmates into doing the work for her
409,beguile,to engage the interest of by or as if by guile,His seductive voice beguiled the audience.
410,beguile,to lead by deception,beguiled into ambush
411,beguile,to while away especially by some agreeable occupation,
412,beguile,to deceive by wiles,had intended to beguile
413,belie,to give a false impression of,Her gentleness belies her strength.
414,belie,to present an appearance not in agreement with,His manner and appearance belie his age.
415,belie,to show (something) to be false or wrong,The evidence belies their claims of innocence.
416,belie,to run counter to : contradict,
417,belie,disguise sense 3,
418,belligerent,"inclined to or exhibiting assertiveness, hostility, or combativeness",
419,belligerent,waging war,
420,beneficent,doing or producing good,a beneficent policy
421,beneficent,beneficial,beneficent bacteria
422,benevolent,marked by or disposed to doing good,a benevolent donor
423,benevolent,organized for the purpose of doing good,a benevolent society
424,benevolent,marked by or suggestive of goodwill,benevolent smiles
425,benign,of a mild type or character that does not threaten health or life,
426,benign,having no significant effect : harmless,environmentally benign
427,benign,of a gentle disposition : gracious,a benign teacher
428,benign,showing kindness and gentleness,benign faces
429,benign,"favorable, wholesome",a benign climate
430,berate,to scold or condemn vehemently and at length,being berated by her parents when she came home late
431,bereft,deprived or robbed of the possession or use of something,both players are instantly bereft of their poise
432,bereft,"lacking something needed, wanted, or expected",the book is … completely bereft of an index
433,bereft,suffering the death of a loved one : bereaved,a bereft mother
434,betray,to lead astray,
435,betray,to deliver to an enemy by treachery,was betrayed to the authorities by one of his students
436,betray,to fail or desert especially in time of need,betrayed his family
437,betray,to reveal unintentionally,betray one's true feelings
438,betray,"show, indicate",His best columns betray … the philosophical bent of his mind.
439,betray,to disclose in violation of confidence,betray a secret
440,betray,to prove false,
441,blithe,"lacking due thought or consideration : casual, heedless",blithe unconcern
442,blithe,of a happy lighthearted character or disposition,a blithe spirit
443,bogus,"not genuine : counterfeit, sham",a bogus claim
444,boisterous,noisily turbulent : rowdy,
445,boisterous,marked by or expressive of exuberance and high spirits,
446,boisterous,"stormy, tumultuous",
447,boisterous,coarse,
448,boisterous,"durable, strong",
449,boisterous,massive,
450,bolster,a long pillow or cushion,
451,bolster,a structural part designed to eliminate friction or provide support or bearing (see bearing sense 5),
452,bolster,to support with or as if with a bolster : reinforce,lay bolstered up in bed
453,bolster,to give a boost to,news that bolstered his spirits
454,bombastic,"marked by or given to speech or writing that is given exaggerated importance by artificial or empty means : marked by or given to bombast : pompous, overblown",
455,boon,a timely benefit : blessing,a boon to new homeowners
456,boon,"benefit, favor",
457,boon,convivial,a boon companion
458,boon,favorable,
